level_0,Time,C6_avg,psi6,V,S-2,S-1,S0
640,839.9999,3.09333,0.17156,2.0,0.0,0.0,0.0
642,859.9999,3.02667,0.18169,2.0,0.0,0.0,0.0
643,869.9999,3.19333,0.2072,2.0,0.0,0.0,0.0
645,889.9999,3.07333,0.21656,2.0,0.0,0.0,0.0
646,899.9999,3.1,0.19551,2.0,0.0,0.0,0.0
647,99.9999,3.60667,0.06961,2.0,1.0,0.0,0.0
649,119.9999,3.66,0.07955,2.0,1.0,0.0,0.0
651,139.9999,3.713330000000001,0.11446,2.0,1.0,0.0,0.0
652,149.9999,3.44,0.15023,2.0,1.0,0.0,0.0
654,169.9999,3.4,0.10345,2.0,1.0,0.0,0.0
655,179.9999,3.48667,0.17461,2.0,0.0,0.0,0.0
657,199.9999,3.33333,0.12922,2.0,0.0,0.0,0.0
658,209.9999,3.1266700000000003,0.11667,2.0,0.0,0.0,0.0
660,229.9999,3.23333,0.17787,2.0,0.0,0.0,0.0
662,249.9999,3.45333,0.07426,2.0,0.0,0.0,0.0
663,259.9999,3.24,0.15558,2.0,0.0,0.0,0.0
666,289.9999,3.08667,0.17512,2.0,0.0,0.0,0.0
667,299.9999,3.1066700000000003,0.18729,2.0,0.0,0.0,0.0
669,319.9999,3.11333,0.21551,2.0,0.0,0.0,0.0
671,339.9999,3.37333,0.21306,2.0,0.0,0.0,0.0
674,369.9999,3.37333,0.25481,2.0,0.0,0.0,0.0
675,379.9999,3.54,0.31172,2.0,0.0,0.0,0.0
676,389.9999,3.22,0.27613000000000004,2.0,0.0,0.0,0.0
677,399.9999,3.34667,0.25968,2.0,0.0,0.0,0.0
678,409.9999,3.31333,0.27069,2.0,0.0,0.0,0.0
680,429.9999,3.3,0.25885,2.0,0.0,0.0,0.0
681,439.9999,3.21333,0.18513,2.0,0.0,0.0,0.0
682,449.9999,3.17333,0.26409,2.0,0.0,0.0,0.0
683,459.9999,3.24,0.15273,2.0,0.0,0.0,0.0
686,489.9999,3.31333,0.22423,2.0,0.0,0.0,0.0
689,519.9999,3.18667,0.23501,2.0,0.0,0.0,0.0
693,559.9999,3.37333,0.3217,2.0,0.0,0.0,0.0
694,569.9999,3.44,0.3041,2.0,0.0,0.0,0.0
695,579.9999,3.14667,0.23156,2.0,0.0,0.0,0.0
696,589.9999,3.3,0.23559,2.0,0.0,0.0,0.0
697,599.9999,3.40667,0.27544,2.0,0.0,0.0,0.0
699,619.9999,3.5333300000000003,0.28935,2.0,0.0,0.0,0.0
700,629.9999,3.52667,0.2298,2.0,0.0,0.0,0.0
702,649.9999,3.72667,0.27132,2.0,0.0,0.0,0.0
705,679.9999,3.5133300000000003,0.26964,2.0,0.0,0.0,0.0
706,689.9999,3.37333,0.21739,2.0,0.0,0.0,0.0
708,709.9999,3.15333,0.21433,2.0,0.0,0.0,0.0
709,719.9999,3.26,0.26457,2.0,0.0,0.0,0.0
712,749.9999,3.14,0.21295,2.0,0.0,0.0,0.0
713,759.9999,3.22,0.12972,2.0,0.0,0.0,0.0
714,769.9999,3.13333,0.20725,2.0,0.0,0.0,0.0
717,799.9999,3.03333,0.16909000000000002,2.0,0.0,0.0,0.0
719,819.9999,3.37333,0.18725,2.0,0.0,0.0,0.0
720,829.9999,3.34667,0.23819,2.0,0.0,0.0,0.0
721,839.9999,3.2866699999999995,0.21114,2.0,0.0,0.0,0.0
723,859.9999,3.26667,0.19639,2.0,0.0,0.0,0.0
726,889.9999,3.34,0.23942,2.0,0.0,0.0,0.0
730,119.9999,4.36667,0.58357,2.0,1.0,1.0,0.0
736,179.9999,3.63333,0.37548,2.0,1.0,0.0,0.0
737,189.9999,3.81333,0.46729,2.0,1.0,0.0,0.0
738,199.9999,3.84,0.37981,2.0,1.0,0.0,0.0
739,209.9999,3.83333,0.46412,2.0,1.0,0.0,0.0
740,219.9999,3.89333,0.38602,2.0,1.0,0.0,0.0
741,229.9999,3.64,0.3754,2.0,0.0,0.0,0.0
742,239.9999,3.70667,0.4358,2.0,0.0,0.0,0.0
744,259.9999,3.89333,0.49787,2.0,0.0,0.0,0.0
747,289.9999,3.68,0.37654,2.0,0.0,0.0,0.0
748,299.9999,3.4733300000000003,0.34492,2.0,0.0,0.0,0.0
749,309.9999,3.66667,0.37823,2.0,0.0,0.0,0.0
750,319.9999,3.58,0.42558,2.0,0.0,0.0,0.0
751,329.9999,3.54,0.41418,2.0,0.0,0.0,0.0
753,349.9999,3.68667,0.43121,2.0,0.0,0.0,0.0
757,389.9999,3.65333,0.29993000000000003,2.0,0.0,0.0,0.0
758,399.9999,3.5,0.32318,2.0,0.0,0.0,0.0
759,409.9999,3.52667,0.38041,2.0,0.0,0.0,0.0
760,419.9999,3.44,0.34839000000000003,2.0,0.0,0.0,0.0
761,429.9999,3.31333,0.29144000000000003,2.0,0.0,0.0,0.0
768,499.9999,3.29333,0.18453,2.0,0.0,0.0,0.0
